event_id	start_step	end_step	event_type	event_name	intensity	target	direction	description
BASE01	1	10	baseline	初期適応	0.35	全員	距離測定↑ 生活不安↑	ISSでの共同生活が始まり、互いの距離感と生活ルールを探る。
BASE02	11	20	baseline	関係形成	0.45	全員	偶発対話↑ 小摩擦↑	共同食・作業・休息のリズムが見え始め、相性差と支え合いが同時に出る。
BASE03	21	35	baseline	中盤ストレス	0.60	全員	疲労↑ 孤立リスク↑	閉鎖空間の疲れ、個室需要、役割偏りが蓄積する。
BASE04	36	44	baseline	後半再調整	0.50	全員	修復機会↑ 気遣い疲れ↑	共同ルールと休息配分を見直し、修復できる関係と固定化する距離が分かれる。
BASE05	45	49	baseline	帰還準備	0.65	全員	緊張↑ 意味づけ↑	帰還が近づき、別れ・評価・地上復帰への不安と感謝が同時に強まる。宇宙ゴミ衝突前の区切り。
DEBR01	50	50	baseline	宇宙ゴミ衝突・HAB損傷	0.92	全員	閉鎖ストレス↑ 緊急対応↑	宇宙デブリがISSに衝突し居住モジュール（HAB）が損傷。HABは一時使用不可。
DEBR02	51	55	baseline	HAB封鎖・5日間の応急修復	0.88	全員	資源圧↑ 同居密度↑	地上宇宙センター指示で5日間の応急修復。HABは封鎖継続。
DEBR03	56	59	baseline	HAB暫定再開	0.72	hab_module	安堵↑ 疲労残存↑	Day56よりHAB暫定利用許可。監視と人数制限が続く。
DEBR04	60	64	baseline	HAB未修復部・酸素漏れ判明	0.95	hab_module	資源圧↑ 不安↑	HABに穴が残り酸素漏れ。他モジュールは当面セーフ。
DEBR05	65	100	baseline	LAB酸素低下・生命維持危機	0.98	全員	協力必須↑ 対立激化リスク↑	LABも酸素危険域。全員協力が生命維持の鍵。
