event_id	start_step	end_step	event_type	timeline_type	label	module_id	participant_ids	related_object_id	related_conflict_id	intensity	direction	description
BASE01	1	10	baseline	baseline	初期適応					0.35	距離測定↑ 生活不安↑	ISSでの共同生活が始まり、互いの距離感と生活ルールを探る。
CONF01	9	10	conflict	conflict	共用部の声量	common_area	ISS07;ISS02			0.52	すれ違い↑ 疲労反応↑	明るい会話が、疲れている人には負荷として伝わり、共用部で声量をめぐるすれ違いが起きる。
REPA01	11	13	repair	repair	共用部の声量の修復	common_area	ISS07;ISS02		CONF01	0.22	気まずさ↓ 距離再調整↑	謝るタイミングが少し遅れ、次の共同食や作業の中で普通に戻るきっかけを探す。
BASE02	11	20	baseline	baseline	関係形成					0.45	偶発対話↑ 小摩擦↑	共同食・作業・休息のリズムが見え始め、相性差と支え合いが同時に出る。
CONF02	13	15	conflict	conflict	キューポラ声かけ	cupola	ISS03;ISS09			0.72	言い合い↑ 孤立反応↑	一人で地球を見たい人と、心配して声をかけたい人がぶつかり、キューポラで言い合いになる。
REPA02	16	18	repair	repair	キューポラ声かけの修復	cupola	ISS03;ISS09		CONF02	0.26	修復試行↑ 警戒残存↑	言い合いの余韻が残り、相手の善意をどう受け取るか迷いながら短い会話を試す。
CONF03	20	22	conflict	conflict	個室待ち	crew_quarters	ISS02;ISS05			0.74	プライバシー圧↑ 言い合い↑	一人になりたいタイミングが重なり、個室の順番と声かけの仕方に敏感になる。
BASE03	21	35	baseline	baseline	中盤ストレス					0.60	疲労↑ 孤立リスク↑	閉鎖空間の疲れ、個室需要、役割偏りが蓄積する。
REPA03	23	25	repair	repair	個室待ちの修復	crew_quarters	ISS02;ISS05		CONF03	0.25	順番調整↑ 気まずさ残存↑	個室利用の順番を見直すが、どちらも遠慮と疲れを抱えたまま距離を測る。
CONF04	27	29	conflict	conflict	資源スコアの圧	common_area	ISS00;ISS08			0.58	責められ感↑ 反発↑	資源表示が協力ではなく、誰かを責める数字として見え始め、短い反発が起きる。
REPA04	30	32	repair	repair	資源スコアの圧の修復	common_area	ISS00;ISS08		CONF04	0.24	役割再確認↑ 責任分散↑	数字を個人評価ではなく共同運用の確認として扱い直そうとする。
CONF05	34	35	conflict	conflict	運動枠の順番	exercise_area	ISS06;ISS08			0.50	順番摩擦↑ 疲労感↑	身体ルーティンを守りたい人と、疲れて運動枠を逃したくない人の希望が重なる。
REPA05	36	38	repair	repair	運動枠の順番の修復	exercise_area	ISS06;ISS08		CONF05	0.20	順番合意↑ 配慮疲れ↓	運動枠の使い方を少し明文化し、互いに先に言う習慣を作り直す。
BASE04	36	44	baseline	baseline	後半再調整					0.50	修復機会↑ 気遣い疲れ↑	共同ルールと休息配分を見直し、修復できる関係と固定化する距離が分かれる。
BASE05	45	49	baseline	baseline	帰還準備					0.65	緊張↑ 意味づけ↑	帰還が近づき、別れ・評価・地上復帰への不安と感謝が同時に強まる。宇宙ゴミ衝突前の区切り。
CONF06	46	47	conflict	conflict	帰還前の助言	cupola	ISS08;ISS09			0.76	押しつけ感↑ 言い合い↑	年長者の助言が、緊張している相手には押しつけに聞こえ、帰還前の不安と重なって言い合いになる。
REPA06	48	49	repair	repair	帰還前の助言の修復	cupola	ISS08;ISS09		CONF06	0.28	意味づけ↑ 謝意回復↑	帰還前の緊張を認め合い、助言ではなく経験の共有として受け取り直す。
DEBR01	50	50	baseline	baseline	宇宙ゴミ衝突・HAB損傷					0.92	閉鎖ストレス↑ 緊急対応↑	宇宙デブリがISSに衝突し居住モジュール（HAB）が損傷。HABは一時使用不可となり、地上の宇宙センター指示のもとISS全体の応急修復が始まる。
DEBR02	51	55	baseline	baseline	HAB封鎖・5日間の応急修復					0.88	資源圧↑ 同居密度↑	地上指示に従い5日間で隔壁・生命維持系の優先順位を直す。HABは封鎖のまま、他区画に人員が押し寄せる。
DEBR03	56	59	baseline	baseline	HAB暫定再開					0.72	安堵↑ 疲労残存↑	Day56よりHABの暫定利用が許可される。完全復旧ではなく、監視と人数制限が続く。
DEBR04	60	64	baseline	baseline	HAB未修復部・酸素漏れ判明					0.95	資源圧↑ 不安↑	HABに微小な貫通穴が残り酸素が漏れていると判明。他モジュールは当面セーフだが、全体の酸素バランスへの不安が急上昇する。
DEBR05	65	100	baseline	baseline	LAB酸素低下・生命維持危機					0.98	協力必須↑ 対立激化リスク↑	実験棟（LAB）でも酸素濃度が危険域に低下。生命維持のため全員の役割分担・通信・節気とリスクの合意が鍵となる。
